Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
1,17,1,1,7,6,7,2,34,340,1551,1281,2005,512,38,202,715,736,719,398,16,40,7,4,2023,28,11,0,0,0,3,7,25,7,33,3,1069,24,24,2,1,2,5,17,43,56,19,2,15,8,0,24,0,0,0,0,39,21,29
5,286,12,67,305,281,72,4,127,343,4536,6571,8507,2579,170,780,2473,2781,2800,1266,37,93,15,7,8432,63,28,2,0,0,7,20,52,16,77,12,2927,27,50,3,0,2,8,30,67,84,66,2,13,45,2,67,6,1,0,0,91,42,71
7,92,2,30,399,367,238,46,2653,2219,28817,34529,50935,20756,2631,7004,17621,22307,27118,10764,65,171,18,4,25668,39,107,21,3,0,4,36,117,18,156,21,11987,45,213,91,29,5,18,95,207,277,120,19,21,132,35,57,74,23,3,0,148,134,144
4,98,1,20,114,206,101,7,33,150,1630,2858,4338,1038,28,906,2068,2762,2630,775,24,73,11,10,3360,44,28,0,0,1,6,15,45,9,65,9,1874,27,48,11,1,2,11,43,63,73,44,7,15,27,0,49,1,0,0,0,75,30,55
5,269,0,223,491,332,55,21,46,176,3016,3839,4120,1031,268,1019,3228,4394,3949,773,33,64,10,8,3591,40,24,2,0,0,4,21,40,2,59,10,2111,18,42,7,2,4,10,33,61,59,41,4,10,36,0,41,0,0,1,0,63,28,50
7,159,1,94,209,299,75,8,206,464,5032,8315,13118,4124,181,1738,6335,9966,10465,2282,49,104,8,5,9868,29,60,12,4,0,4,17,78,8,99,17,5296,20,108,53,9,2,14,73,126,115,71,6,22,81,14,67,6,14,2,0,94,72,91
5,453,34,89,784,555,344,72,524,368,5371,10152,15715,6306,205,791,3171,5134,7246,2861,37,91,17,8,9037,56,38,1,0,0,6,31,49,11,82,13,3937,38,63,16,1,5,14,47,82,102,51,13,22,61,2,77,3,1,0,0,93,54,77
4,73,0,1,110,171,71,8,43,186,1832,2287,4487,1114,14,560,1526,1308,1614,376,28,61,5,4,2789,18,36,1,0,1,4,17,38,2,56,1,1287,16,44,5,1,1,11,19,62,51,38,5,8,36,0,38,0,0,0,0,54,32,43
4,117,1,32,164,158,11,4,45,297,1891,2097,2122,460,52,583,1569,1655,1192,349,19,46,5,12,1577,33,12,0,0,0,1,17,21,9,40,3,1185,12,17,2,0,2,10,24,40,47,28,0,11,15,0,26,0,0,0,0,45,18,39
7,207,0,14,265,378,154,13,263,409,4972,7970,13366,4415,244,2205,7215,8841,8940,2321,43,103,9,9,10545,44,44,13,3,0,4,20,71,13,89,9,5704,34,97,42,5,5,16,48,121,148,67,4,28,57,12,68,3,15,7,0,95,67,81
3,87,0,27,115,104,23,0,118,139,1094,1584,2482,787,71,162,496,691,899,439,15,47,7,6,2172,28,20,0,0,0,3,12,29,4,42,1,1098,25,29,3,1,0,9,21,43,42,21,2,16,11,0,32,0,0,0,0,45,25,36
6,167,0,40,209,195,68,9,86,110,1973,3103,4755,1338,92,621,1957,2383,2171,767,20,86,12,12,3054,50,34,0,0,0,4,33,49,4,76,8,2008,38,66,7,1,4,21,58,57,59,52,4,13,22,0,50,1,0,0,0,81,36,54
2,104,0,2,102,146,197,34,65,221,2489,4219,6192,1661,49,533,3378,5255,5562,1498,24,74,11,9,4260,40,30,2,0,0,6,21,45,6,68,1,2712,25,67,24,2,3,13,46,79,71,46,6,6,41,0,44,4,0,0,0,69,31,54
3,100,0,1,108,165,123,14,6,39,876,1415,2058,416,32,314,1826,2994,2827,597,13,32,5,2,1414,12,19,1,0,0,3,13,15,3,31,1,1288,10,46,21,3,1,13,33,42,32,25,2,0,16,0,20,1,0,0,0,28,19,23
4,118,1,23,102,134,30,7,259,155,1793,2840,3449,1475,173,997,2884,4365,4310,1360,22,86,12,11,3343,62,23,1,0,1,8,40,34,9,75,12,3095,39,66,9,3,8,17,49,73,69,43,6,28,27,0,51,1,3,0,0,84,35,60
2,83,0,42,164,86,24,3,11,162,1232,1559,2665,588,16,344,1044,1163,996,267,17,39,5,1,2418,12,23,3,1,0,0,10,27,2,33,3,882,7,24,10,4,1,2,14,39,46,29,0,7,30,0,27,4,1,0,0,36,28,29
4,137,1,7,239,478,59,14,136,227,2585,3937,5534,1758,137,635,2079,3199,3118,677,38,89,17,11,4434,48,41,1,0,0,6,21,56,8,84,9,2051,39,58,11,1,2,21,58,74,55,52,4,21,33,0,56,0,0,0,0,86,50,73
5,140,4,1,168,173,71,21,264,746,7063,9600,14075,5365,446,2005,4350,5888,6186,2802,30,75,10,8,11118,48,29,0,0,0,5,13,47,13,66,18,5648,49,78,19,5,2,10,47,103,108,51,4,14,37,0,57,6,6,0,0,76,41,60
1,5,0,0,1,3,0,0,14,8,117,207,286,74,18,128,254,303,443,123,5,19,8,1,342,14,4,0,0,0,2,6,13,0,16,0,252,8,12,0,0,0,2,14,10,7,7,1,8,2,0,6,0,0,0,0,19,5,10
3,246,5,55,381,176,177,29,47,90,1466,2436,3355,942,34,1400,2420,2748,3046,760,22,51,12,8,2832,22,28,1,0,0,1,17,28,5,48,8,2384,15,56,5,4,4,8,32,77,96,38,2,9,26,0,40,1,1,0,0,50,32,45
2,32,0,74,106,32,6,6,86,164,1745,2988,5455,1657,112,553,2602,3666,3379,873,18,40,4,1,3099,11,23,6,0,0,0,7,30,3,38,6,1846,12,42,16,0,0,7,23,51,38,29,5,3,33,1,26,5,6,0,0,34,26,32
2,33,1,23,51,30,8,3,43,296,2631,2580,3921,1173,32,542,1172,1710,1916,540,23,59,14,3,3514,26,33,0,0,0,0,12,44,4,55,4,1823,28,44,3,1,0,8,22,57,72,38,1,17,33,0,45,0,0,0,0,60,38,46
2,24,0,18,30,21,3,1,50,943,2676,3000,3175,744,534,8861,14139,13379,14583,6570,17,88,8,5,3056,44,42,2,0,0,12,37,38,6,58,4,3506,21,22,5,0,6,15,35,48,41,43,13,15,14,8,31,3,0,0,0,83,41,62
1,5,0,0,0,0,0,0,186,21,147,371,868,259,106,430,1054,1206,1131,239,4,16,4,2,476,11,5,0,0,0,3,6,6,2,11,1,793,7,14,2,0,1,3,12,36,41,4,0,3,4,0,6,0,0,0,0,16,4,7
2,49,0,52,114,27,0,1,63,39,352,396,724,211,11,161,539,546,550,173,3,19,2,2,392,9,11,0,0,0,3,5,10,3,16,0,459,8,15,4,2,1,6,16,14,31,10,2,1,10,0,9,0,0,0,0,18,9,12
6,120,2,15,118,160,82,14,59,282,1514,2727,3756,891,73,697,2159,2446,1988,540,35,72,15,8,3325,40,30,0,0,1,2,24,40,8,66,4,1580,14,56,13,1,2,18,34,67,64,46,3,13,43,0,45,0,0,0,0,72,35,58
3,155,0,32,333,237,94,18,61,120,2120,3074,5455,1545,69,1114,2415,2365,2605,604,22,55,5,1,4055,8,41,6,0,0,0,11,37,8,51,8,2245,11,63,20,2,1,5,25,50,99,38,4,10,41,2,42,3,2,0,0,49,46,48
3,45,0,2,11,16,49,7,43,246,2830,3065,4943,1520,30,750,1628,1350,2242,602,25,45,6,2,4010,22,22,0,0,0,2,13,28,6,35,7,1262,17,35,5,0,1,8,12,38,63,27,4,8,26,0,32,4,0,0,0,42,24,36
3,38,0,20,115,43,30,4,85,128,1660,2147,3593,893,63,1228,2891,3139,3228,739,28,76,20,10,2663,43,31,1,0,1,4,23,43,7,63,4,1740,26,42,9,0,0,11,32,46,55,45,6,17,33,0,48,0,0,0,0,73,36,58
1,21,0,0,19,25,30,4,12,43,496,783,1237,257,33,517,1262,1456,999,255,7,36,6,5,706,17,18,0,0,0,7,12,17,3,32,0,511,8,25,1,0,0,7,20,26,18,23,3,3,19,0,19,0,0,0,0,35,14,19
6,121,0,38,154,83,50,6,78,83,750,1005,1171,405,36,333,848,788,631,245,13,35,9,2,1152,27,7,0,1,0,5,11,19,3,26,6,668,6,29,2,1,4,7,22,27,25,16,3,9,12,0,18,0,0,0,0,33,14,22
2,15,1,0,45,39,28,6,15,61,646,830,1444,346,8,421,724,709,522,93,10,32,5,1,945,11,19,2,0,0,6,9,16,4,25,1,402,7,18,3,1,2,4,11,27,22,18,2,5,22,0,14,0,0,0,0,28,18,23
