Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Takeout,Waiter Service,Wi-Fi
4,108,0,0,71,69,87,16,85,132,1799,2347,3333,1394,16,39,441,608,508,105,15,29,2,1,2443,14,12,1,1,1,0,6,22,1,27,4,551,7,11,2,1,1,4,13,16,24,18,3,6,18,0,12,15,0,0,27,16,25
0,0,0,0,0,0,0,0,26,121,1282,1988,2431,607,23,266,934,1552,1783,486,12,25,6,2,2126,11,15,0,0,0,1,7,19,1,24,3,1131,11,14,2,0,1,5,10,18,28,19,1,6,9,0,18,0,0,0,24,17,19
4,108,0,0,71,69,87,16,88,228,1930,2433,3410,1402,23,69,512,694,674,199,18,37,5,3,2551,23,12,1,1,2,1,11,24,2,34,4,831,12,14,2,0,2,7,6,21,31,26,4,5,21,0,14,15,0,0,36,18,33
1,16,0,0,21,29,26,3,32,51,622,1153,2011,562,17,242,1281,1382,1201,325,8,27,3,4,805,17,8,0,0,0,2,11,13,2,26,2,557,6,20,3,0,1,4,14,23,6,19,3,2,15,0,13,0,0,0,26,12,19
3,99,0,43,165,184,83,4,99,89,1693,3560,5383,1509,22,440,1663,2475,2076,443,24,50,9,4,3057,21,26,3,0,0,2,13,36,1,47,3,1557,10,57,16,2,2,9,30,58,31,36,5,4,36,0,39,0,0,0,49,25,40
5,293,0,85,528,420,248,49,28,90,2057,4054,6201,1716,65,560,2589,5399,4949,1057,22,48,3,5,3254,20,28,1,0,0,0,13,34,3,46,10,1851,11,70,28,4,0,10,45,64,37,38,4,1,32,0,39,1,0,0,48,26,40
4,108,0,0,71,69,87,16,85,134,1829,2376,3341,1398,24,213,1567,1175,1056,238,15,31,2,2,2453,16,12,1,1,1,0,7,23,1,28,4,626,6,14,2,1,1,4,14,18,25,18,3,6,18,0,12,15,0,0,29,16,25
0,0,0,0,0,0,0,0,26,133,1403,2180,2573,630,24,484,1094,1771,1938,533,13,27,6,2,2293,12,16,0,0,0,1,7,20,2,26,3,1264,14,17,2,1,1,5,13,22,33,21,1,6,11,0,20,0,0,0,26,17,21
3,79,0,36,186,144,63,18,80,136,2303,4406,6511,2007,56,592,2294,4371,3568,758,20,51,4,4,3605,23,27,1,0,0,2,12,36,3,47,10,1681,9,47,23,4,3,12,36,65,38,40,4,2,30,0,38,0,0,0,51,27,42
5,293,0,85,528,420,248,49,27,73,1786,3574,5658,1614,61,242,2188,4854,3909,807,19,40,2,4,2750,15,25,1,0,0,0,12,28,2,38,9,1552,6,63,28,3,0,9,41,59,29,31,4,1,26,0,33,1,0,0,40,24,33
