Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Takeout,Waiter Service,Wi-Fi
1,3,0,0,0,1,2,0,16,61,714,930,1491,357,20,605,957,844,724,132,11,35,6,1,988,12,21,2,0,0,6,9,19,4,28,1,518,10,19,3,1,2,6,13,30,32,21,2,5,23,0,16,0,0,0,31,19,25
3,99,1,21,72,88,4,5,84,135,941,1547,2050,644,105,503,1913,3431,2967,938,13,60,6,9,1817,43,15,1,0,1,6,34,18,3,52,9,2390,20,57,7,3,8,16,35,60,42,31,5,16,18,0,31,1,3,0,59,22,42
20,855,5,50,1114,552,656,104,1132,1173,10746,13594,20736,10645,841,2889,9215,11143,17112,6465,75,183,32,6,17805,103,86,4,0,0,8,52,114,27,165,20,9506,58,85,21,3,16,30,65,138,207,120,22,23,123,38,58,68,11,13,171,101,150
1,41,0,0,30,18,15,0,6,48,1050,1686,2330,474,32,324,1887,3109,2932,615,17,37,6,2,1629,15,21,1,0,0,4,13,19,3,36,1,1347,10,48,21,3,1,13,33,46,34,29,3,0,18,0,25,1,0,0,33,20,27
4,108,0,0,71,69,87,16,97,247,2042,2643,3772,1549,41,314,1992,1793,1707,446,19,48,7,6,2857,31,14,1,1,2,3,13,30,1,41,4,1306,19,31,2,1,1,9,19,40,47,28,6,7,23,0,20,15,0,0,46,23,38
3,92,2,0,25,24,46,9,313,1383,8869,10669,17866,6052,202,3229,6507,6563,9247,1789,52,127,20,11,11984,71,53,6,1,0,6,29,76,22,110,22,4990,47,70,23,5,2,12,52,104,129,80,7,26,64,1,98,4,16,0,122,63,98
1,35,0,0,20,36,21,6,128,232,2522,3353,3640,1158,128,525,2057,3134,2918,677,32,78,16,12,3184,44,34,1,0,0,4,23,45,8,72,7,2175,40,53,10,1,4,22,54,77,48,49,3,17,31,0,50,0,0,0,76,40,61
1,6,0,0,0,0,0,0,49,88,1506,2014,2205,323,50,524,1923,2463,2104,516,17,68,8,9,2330,55,14,0,0,1,8,25,33,6,59,6,1276,24,30,4,0,3,14,34,55,43,34,3,18,16,0,34,1,0,0,69,32,42
1,12,0,0,0,0,0,0,90,93,1188,1666,2228,588,34,177,920,1254,878,316,16,46,11,6,2039,32,13,1,0,0,1,15,26,6,37,2,968,16,22,2,0,1,9,18,42,25,24,2,13,10,0,30,0,0,0,44,18,31
2,31,0,0,8,8,9,0,431,924,6942,6449,9562,3454,339,3434,6234,6075,10380,2128,25,76,13,6,6298,38,33,2,0,0,2,17,45,12,64,11,3526,42,65,5,2,3,14,48,80,94,35,6,21,34,0,50,0,2,0,70,39,52
1,31,0,1,4,12,23,3,9,12,121,234,414,86,18,356,1281,1296,1157,366,4,18,5,1,433,8,7,1,0,0,2,4,10,3,13,1,811,8,23,1,2,2,2,17,28,30,6,1,4,4,0,5,0,0,0,15,5,10
1,3,0,0,0,0,0,0,0,0,14,19,20,5,2,22,126,179,177,65,0,3,1,1,47,2,1,0,0,0,2,1,1,0,2,0,139,1,8,2,1,1,2,3,6,12,2,0,0,2,0,1,0,0,0,3,0,3
1,5,0,0,0,0,0,0,175,15,142,345,786,219,106,427,1046,1196,1124,237,3,14,4,2,427,10,4,0,0,0,3,6,5,1,9,1,755,7,14,2,0,1,2,12,34,39,2,0,3,2,0,4,0,0,0,14,2,5
1,14,0,0,15,24,3,0,55,332,3072,2425,3459,983,237,1519,3256,4400,6792,1491,11,35,6,3,2334,15,18,1,1,0,0,9,20,9,33,3,1802,14,28,6,4,4,6,26,32,43,20,3,9,26,3,25,0,4,0,30,19,28
2,18,0,2,48,20,0,0,1296,408,6938,10423,12399,6010,659,2103,5303,6474,8058,4041,43,129,25,6,11548,78,53,1,0,0,5,39,84,10,105,26,5456,38,64,14,1,7,18,37,77,105,73,13,26,91,15,57,44,2,2,126,56,93
1,3,0,0,0,0,0,0,104,98,808,974,1643,534,57,441,1027,795,733,375,13,53,14,6,1317,36,14,0,0,0,3,15,29,7,43,3,609,22,22,2,1,0,6,19,33,30,30,2,12,13,0,36,1,0,0,52,26,36
2,12,0,0,0,0,0,0,11,178,1587,1415,2474,633,32,357,1037,915,972,247,15,35,5,2,2508,22,15,0,1,0,1,8,25,6,32,4,1168,18,20,2,1,1,6,18,41,49,21,1,13,21,0,27,1,1,0,37,20,31
1,39,0,0,1,11,25,6,27,199,1219,1611,3021,680,42,711,1734,1685,2095,715,25,50,13,6,1925,28,20,1,0,1,3,11,34,2,43,4,1175,20,34,5,1,2,11,16,47,59,30,3,8,26,0,30,2,0,0,49,21,34
1,47,0,32,71,56,7,1,33,359,3261,3701,3438,897,268,1011,3177,4341,3930,767,32,60,10,7,3357,41,20,1,0,0,4,20,36,3,53,8,2018,17,39,7,2,4,10,32,56,55,40,3,9,34,0,39,0,0,1,59,23,46
2,10,0,0,10,19,13,1,251,524,6082,9791,14728,4668,300,2392,8375,10289,10253,2566,56,117,11,10,11568,53,48,14,3,0,3,23,84,12,101,11,6161,35,105,42,6,5,18,59,129,150,77,5,30,72,12,78,3,15,7,107,66,91
1,20,0,0,7,1,28,7,56,211,2503,4239,6145,1635,45,447,2891,4620,5006,1347,22,62,9,8,4163,35,26,1,0,0,5,18,39,3,60,1,2277,21,57,23,1,2,13,36,63,58,43,5,4,39,0,42,4,0,0,60,28,48
1,63,0,0,11,57,45,7,263,186,2150,3651,4595,1787,157,1372,3890,5022,5084,1804,34,67,13,4,3739,37,29,0,0,0,4,18,39,6,62,13,3510,34,70,8,2,3,13,48,92,86,39,1,23,30,0,51,0,0,0,67,32,52
1,58,0,4,13,11,8,0,52,103,1023,1547,1999,479,68,205,531,686,913,366,16,47,7,7,1977,34,13,0,1,0,7,12,25,5,40,2,911,24,30,3,1,1,7,22,34,42,22,0,18,12,0,30,0,0,0,44,19,34
1,4,0,0,2,2,0,0,32,89,1671,1812,1317,329,6,430,770,750,717,222,13,40,9,1,1784,18,19,0,1,0,3,13,21,5,32,1,590,13,17,2,0,3,5,15,23,27,18,2,12,20,0,24,1,0,0,37,16,29
2,7,0,0,1,1,1,0,207,566,5254,8633,13217,4140,190,1875,7020,10874,10696,2317,57,113,14,5,10061,37,60,13,4,0,4,21,83,8,105,19,5547,20,112,53,9,2,15,73,128,135,72,7,27,86,14,70,6,14,2,102,74,95
3,24,0,1,5,9,3,3,40,56,591,759,550,171,48,93,369,383,245,128,10,51,5,9,635,42,11,0,0,0,6,22,22,10,43,0,543,17,20,3,0,3,11,17,24,28,25,4,12,11,0,14,0,0,0,54,24,33
1,3,0,0,0,0,0,0,49,50,697,1311,1536,377,39,96,591,1092,1211,382,11,54,6,5,1838,44,12,0,0,0,6,13,31,9,49,4,1580,23,31,3,0,7,7,29,58,77,28,5,10,28,1,28,12,0,0,55,26,39
2,15,0,0,0,0,0,0,130,83,1048,1722,2650,676,104,951,2797,2692,2224,618,28,79,13,7,2304,52,25,1,0,1,10,20,41,11,64,8,2129,43,37,6,3,3,8,46,83,86,48,1,16,26,1,42,0,0,0,78,40,58
2,13,0,14,6,8,1,0,69,74,2159,3316,3883,1087,64,556,1651,2010,1812,583,19,69,7,10,2788,42,25,0,0,0,1,27,37,5,59,8,1643,21,57,7,2,3,18,47,47,53,44,4,9,20,0,47,2,0,0,65,29,48
2,30,0,0,3,10,18,0,63,298,1630,2863,3778,910,61,545,1616,2066,1612,373,38,78,17,9,3433,45,30,0,0,1,1,29,41,9,71,3,1475,12,54,13,0,2,17,34,62,57,50,3,15,49,1,49,0,0,0,78,37,64
2,15,0,0,4,4,3,1,51,63,400,550,869,203,81,317,829,956,942,348,8,18,1,2,505,10,7,0,0,0,0,5,12,2,17,0,526,8,11,6,0,2,3,12,22,23,13,2,1,9,0,9,0,0,0,18,6,15
1,12,0,20,38,16,1,0,32,137,1513,2715,4131,1010,28,791,1994,2649,2525,732,24,70,11,9,3061,42,27,0,0,1,6,14,44,8,65,6,1770,25,47,11,1,2,11,42,59,70,42,7,15,28,0,47,1,0,0,72,29,54
