Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
2,15,1,0,45,39,28,6,15,61,669,892,1465,351,20,605,957,844,724,132,10,34,6,1,976,11,21,2,0,0,6,9,18,4,27,1,518,10,19,3,1,2,6,13,30,32,20,2,5,22,0,15,0,0,0,0,30,19,24
8,352,2,145,650,523,315,25,78,142,1731,2921,5064,1272,220,1141,3742,6107,5841,1045,32,63,8,6,3460,30,31,1,0,0,3,24,32,5,57,6,2975,31,80,19,6,2,12,50,103,86,44,3,11,38,0,44,0,0,0,0,62,31,48
4,118,1,23,102,134,30,7,84,133,911,1501,2024,642,105,503,1913,3431,2967,938,12,59,6,9,1798,42,15,1,0,1,6,33,18,3,51,9,2390,20,57,7,3,8,16,35,60,42,30,5,16,17,0,31,1,3,0,0,58,22,41
27,1171,17,210,1755,1117,755,121,1120,1013,10105,13029,20637,10628,841,2889,9215,11143,17112,6465,69,176,29,6,17489,97,85,4,0,0,8,51,108,27,160,20,9506,58,85,21,3,16,30,65,138,207,116,20,22,116,36,57,65,11,12,0,164,100,145
3,100,0,1,108,165,123,14,6,47,972,1539,2222,460,32,324,1887,3109,2932,615,15,35,5,2,1570,13,21,1,0,0,4,13,17,3,34,1,1347,10,48,21,3,1,13,33,46,34,27,3,0,18,0,23,1,0,0,0,31,20,25
4,108,0,0,71,69,87,16,97,247,2042,2643,3772,1549,41,314,1992,1793,1707,446,19,48,7,6,2857,31,14,1,1,2,3,13,30,1,41,4,1306,19,31,2,1,1,9,19,40,47,28,6,7,23,0,20,15,0,0,0,46,23,38
7,202,2,70,371,269,97,10,313,1313,8523,10424,17815,6051,202,3229,6507,6563,9247,1789,50,123,20,11,11874,67,53,6,1,0,6,27,75,21,107,21,4990,47,70,23,5,2,12,52,104,129,80,5,26,61,1,96,4,16,0,0,118,63,96
5,172,1,7,259,514,80,20,127,225,2283,2875,3581,1144,128,525,2057,3134,2918,677,28,74,14,11,3047,40,34,1,0,0,4,22,43,7,68,7,2175,40,53,10,1,4,22,54,77,48,47,3,16,27,0,47,0,0,0,0,72,40,58
2,20,0,0,0,0,0,0,49,88,1506,2014,2205,323,50,524,1923,2463,2104,516,17,67,8,9,2316,54,14,0,0,1,8,25,32,6,58,6,1276,24,30,4,0,3,14,34,55,43,34,3,18,16,0,34,0,0,0,0,68,32,42
1,12,0,0,0,0,0,0,90,93,1188,1666,2228,588,34,177,920,1254,878,316,16,46,11,6,2039,32,13,1,0,0,1,15,26,6,37,2,968,16,22,2,0,1,9,18,42,25,24,2,13,10,0,30,0,0,0,0,44,18,31
5,523,1,121,963,968,800,118,430,803,5987,5489,8771,3336,339,3434,6234,6075,10380,2128,23,73,13,6,5806,36,33,2,0,0,2,16,44,11,63,10,3526,42,65,5,2,3,14,48,80,94,33,6,20,32,0,49,0,2,0,0,67,39,50
0,0,0,0,0,0,0,0,5,37,231,284,811,205,16,202,648,618,565,99,8,20,7,2,808,6,13,0,1,0,1,8,11,1,15,3,662,7,17,2,1,0,5,11,18,30,10,0,5,10,0,11,0,0,0,0,20,12,14
