0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Takeout,Waiter Service,Wi-Fi,_id
2659,2383,29547,35085,51087,20731,2612,6410,16628,21047,24330,10381,68,164,20,2,25227,41,102,18,3,0,3,35,111,18,151,21,11485,48,205,81,29,4,15,90,204,265,110,19,23,126,35,53,75,22,3,143,128,138,0
98,238,1891,3044,4630,1385,125,358,1455,2191,2051,917,22,56,9,3,3145,22,29,2,1,0,5,17,31,4,49,2,1585,12,41,11,1,0,10,26,52,45,32,6,12,29,2,36,0,0,0,50,27,42,1
77,102,1760,3034,5168,1484,78,854,1943,2271,1902,634,19,72,12,10,3132,43,28,0,0,0,3,28,42,3,64,8,1859,34,51,7,1,4,16,56,55,64,44,3,11,20,0,44,1,0,0,71,32,45,2
71,139,1676,2375,2511,858,142,900,2629,3124,3038,810,25,57,13,8,2051,36,21,1,0,0,0,25,30,5,53,6,1789,30,28,5,1,2,13,45,48,44,31,2,16,19,1,43,2,0,0,57,26,37,3
83,129,832,1441,2102,653,101,471,1869,3382,2927,924,10,56,7,9,1869,37,17,1,0,1,6,31,17,3,48,8,2275,21,57,7,3,8,16,31,60,42,29,5,14,15,0,30,1,3,0,55,24,41,4
245,107,1231,1697,3474,1315,126,2475,3678,3346,5874,1182,7,25,3,7,1730,13,11,0,0,0,4,6,16,3,22,4,1460,14,31,4,0,3,7,26,28,52,15,1,4,15,0,14,0,1,0,26,11,14,5
266,417,4876,6802,9388,3663,289,1071,3026,3357,3656,1954,31,68,11,5,7746,35,30,2,0,0,2,19,40,10,57,9,3478,26,38,6,0,2,5,19,43,89,54,1,7,43,3,47,10,0,0,67,32,58,6
98,95,1310,1644,1678,387,47,293,1062,1396,1362,404,14,54,10,10,1630,44,8,0,1,0,7,15,29,4,44,5,1019,17,37,2,2,1,8,29,39,33,36,3,9,16,0,36,1,0,0,50,20,41,7
103,148,1648,2719,4266,1264,93,306,1205,1653,1650,648,28,73,13,8,3872,37,36,0,0,0,6,20,45,5,62,11,1515,25,51,7,1,3,11,40,62,53,41,3,19,26,0,50,0,0,0,70,41,50,8
16,54,376,474,383,61,82,542,941,1085,1084,425,6,26,1,2,526,15,11,0,0,0,8,4,12,7,17,2,1266,6,9,1,1,5,13,19,21,26,16,1,5,0,1,9,0,0,0,25,10,19,9
1295,399,6807,10179,12403,6023,643,2083,5237,6359,7874,3963,41,128,25,6,11507,75,54,1,0,0,4,39,83,10,105,25,5339,37,63,14,1,7,17,36,69,103,71,13,28,91,15,57,43,2,2,124,56,93,10
5,36,226,280,802,203,17,200,647,595,541,99,8,19,7,2,791,6,12,0,1,0,1,8,10,1,14,3,663,7,17,2,1,0,5,11,17,31,9,0,5,9,0,11,0,0,0,19,12,13,11
108,229,1502,1671,2206,714,60,307,1426,2427,2236,626,19,55,10,11,1890,32,24,0,0,0,4,18,31,3,48,4,1761,31,45,8,1,3,15,39,62,39,34,5,7,21,0,32,0,0,0,53,25,42,12
9,41,177,252,535,129,3,73,421,496,458,111,3,15,4,1,339,11,4,0,0,0,2,2,11,0,11,0,460,5,11,4,2,0,3,8,20,26,10,0,2,6,0,8,0,0,0,15,7,10,13
133,291,2558,3286,4514,1397,48,1378,2417,2907,2761,816,24,59,7,9,2853,33,26,0,0,0,0,20,36,5,54,1,1977,16,41,11,1,3,12,33,58,78,35,3,13,29,0,37,2,0,0,58,25,47,14
107,209,3122,5779,8764,2661,90,909,4014,7291,6640,1394,30,72,4,6,4863,34,38,1,0,0,3,19,51,3,65,14,3063,17,91,31,4,4,20,59,106,79,57,5,4,44,0,54,1,0,0,71,38,58,15
644,378,5749,10780,16486,6913,211,924,3405,5317,7499,3070,38,95,17,9,9388,60,38,1,0,0,6,32,52,11,86,14,3996,39,63,16,1,5,15,45,82,95,54,14,22,65,2,80,3,1,0,97,56,80,16
30,231,2294,2240,3297,951,24,532,1118,1576,1788,464,20,52,12,3,3091,25,28,0,0,0,0,9,41,3,48,4,1719,28,38,3,1,1,7,24,52,65,35,0,15,31,0,39,0,0,0,53,32,42,17
61,91,1381,1879,2979,722,51,968,2441,2419,2776,656,21,51,13,7,1994,28,22,0,0,1,3,13,31,4,43,3,1447,17,34,7,0,0,9,28,35,46,31,5,9,23,0,32,0,0,0,50,24,41,18
60,204,1267,1978,3932,1015,30,398,1526,2028,1909,631,24,77,7,4,2160,35,41,2,0,0,3,33,38,8,69,1,1093,20,32,8,0,2,21,29,53,42,45,5,17,34,0,50,2,0,0,74,47,57,19
104,102,1780,2671,3546,978,157,424,1681,2511,3131,882,19,56,5,7,2529,40,16,0,0,0,3,14,33,9,51,3,1651,23,28,5,1,2,6,27,52,50,31,1,10,18,0,36,0,0,0,54,26,33,20
186,391,2066,2751,5631,1963,231,1370,3222,3451,5022,1898,23,63,9,6,5449,38,21,7,1,0,6,11,38,15,52,12,3006,27,52,14,2,2,9,25,67,89,43,1,14,24,0,49,3,4,0,64,32,51,21
926,690,7256,9797,16757,8868,578,1955,6378,7946,13691,4535,49,141,21,4,14079,78,69,4,0,0,6,43,86,21,127,14,6417,37,59,16,3,14,25,48,106,135,87,20,19,91,34,35,57,11,12,129,83,116,22
131,235,1836,3189,5579,1650,94,1200,3538,5230,5093,1097,22,46,3,3,4063,11,30,6,1,0,2,8,35,3,43,8,2327,7,39,17,4,1,5,29,49,37,31,2,11,38,1,34,0,3,0,43,35,40,23
22,55,611,1351,2240,564,17,293,1152,1404,1384,575,9,30,5,3,1291,18,14,0,0,0,1,8,20,3,31,4,1150,15,24,5,1,4,8,26,33,48,20,5,5,11,0,23,1,0,0,32,14,24,24
146,85,1017,1967,3307,1663,107,407,2031,3238,3929,1043,8,47,7,9,1960,22,24,0,0,0,3,18,25,2,43,0,1332,9,32,10,0,3,4,22,34,21,23,6,8,24,0,25,3,0,0,45,23,29,25
239,377,4934,8322,12304,3787,203,1557,6733,8542,8207,1724,42,84,5,6,8840,36,38,8,2,0,3,14,60,10,78,8,4812,27,83,35,5,5,15,48,99,106,56,5,20,54,12,57,2,10,7,76,52,66,26
54,52,592,756,573,186,31,98,408,432,273,119,10,53,5,9,666,43,12,0,0,0,6,20,26,10,45,0,588,18,23,3,0,3,13,16,28,31,26,4,12,11,0,16,0,0,0,56,27,33,27
314,284,2733,4199,5282,1972,187,1645,4549,5817,6319,2142,39,81,14,5,4451,48,32,0,0,0,5,23,50,4,74,16,4397,44,78,7,3,3,14,55,97,111,49,1,24,39,0,58,0,0,0,82,33,64,28
91,451,2840,3512,6078,1569,255,1060,4034,6138,5783,1291,36,83,10,9,4588,41,38,1,0,0,5,25,44,10,73,8,3472,48,86,18,5,2,16,52,116,111,55,3,16,40,0,54,0,0,0,80,42,61,29
